uid,average_rating,elevation_gain,highpoint,mileage,mileage_type,tripreport_count,campsites,coast,dogs_ok,foliage,kids_ok,lakes,mountains,old_growth,ridges,rivers,summits,waterfalls,wildflowers,wildlife
086ddbc2775a7e55909f9e2384589190,3.5,350.0,1500.0,6.0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1
086e1070d0501dc313d347d2f194f6f8,4.5,None,None,None,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
088a4655a621499284440d6e86a34fba,5.0,280.0,300.0,6.0,1,5,0,1,1,0,1,0,1,0,0,0,0,0,0,1
08aa011aa0494701bdc59810991789c5,0.0,2400.0,5200.0,16.2,1,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0
08b9079241937e71dc10b685c1d7990d,4.0,None,None,None,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08e3cdc49f96108dc45291ab1d5e650d,2.0,1800.0,3800.0,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
09028155d8787df88119d53cf86203ed,2.8,500.0,5100.0,5.0,1,27,0,0,1,0,1,1,0,0,0,0,0,0,1,1
0909a249ba0ef357cbfe854da8a27389,2.75,1600.0,7350.0,5.2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0913e1b542d6a5b796ce9bdde84fd377,3.0,2000.0,5000.0,6.0,1,34,1,0,0,0,0,1,0,0,0,0,0,1,1,0
09624b646afd5cc8a38e1651765b5a05,3.0,2400.0,5000.0,7.0,1,12,0,0,0,0,0,1,0,1,0,1,0,0,1,1
096e01c49a5e2d59a68c0ecc1b999bbc,3.6,None,None,None,1,58,0,0,1,0,1,0,1,0,0,0,0,0,0,1
099181476dae5136659877e90260a913,4.0,None,None,None,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09928331556039f0323651ba0aabb52d,3.83333333333,200.0,400.0,3.5,4,31,0,0,0,0,1,0,1,1,0,0,0,0,0,0
09a1e886cb8c0da7c8f5ac4886d3595c,3.0,None,100.0,3.0,1,10,0,0,1,0,1,0,1,0,0,1,0,1,1,0
09a44c0b4b25211c6807dc0396388492,3.5,None,None,None,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09b850c5328d39139a73aab57da4b611,0.0,None,2715.0,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09bf440e07ee456a87cd5e397080c2b1,0.0,3000.0,5300.0,15.1,1,5,0,0,0,1,0,0,1,1,1,0,1,0,1,1
09c69383eeec2a74856b7a3151cf9bf3,4.47435897436,1100.0,5900.0,7.5,1,754,0,0,0,0,1,1,1,0,1,0,1,0,1,0
0a0aa13adef14429bbe9eee6cceda645,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a0c04bab12d0906e612ba948fe2ff36,4.0,30.0,260.0,1.5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a0e6a919a4c727b0acc6871734d5319,2.2,None,None,None,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a12f34d97e348c9a7215b3f2ff1265b,0.0,250.0,250.0,1.4,1,16,0,1,1,1,1,0,1,0,0,0,0,0,0,1
0a18c9d9fa3927d895320dc1c6b48e78,2.25,None,None,None,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a1c83c4e8575a341c52301ee571d6d0,2.16666666667,300.0,800.0,1.4,1,57,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0a2453f9ac5f33517197eef118e21b19,3.71428571429,5800.0,7420.0,14.0,1,73,0,0,0,0,0,0,1,0,0,1,1,1,1,0
0a4b3acc5913d0d0a3be17dd2a0c41e3,2.75,1500.0,5500.0,5.0,5,15,0,0,0,1,0,1,1,0,1,0,0,0,1,1
0a622c0124ac7afedaf67700490c8dd2,3.5,None,None,None,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a680da99baa4ff48f7a7933eac4739f,0.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a6e4121ad19ad3999698c32a36b679f,3.72727272727,900.0,3600.0,3.5,1,32,0,0,1,0,1,0,1,0,0,0,1,0,1,1
0a71d34546a53f59a6a65448a8b414cc,1.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a8d9afaf51007a8f5d62e13d269f825,4.05882352941,3100.0,5600.0,8.2,1,218,0,0,1,0,0,0,1,1,1,0,1,0,1,0
0a996f11f214101e43819f4fdef9706b,4.4,3668.0,5850.0,7.8,1,37,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0aa62e357988e89d8cde8f187aeec810,3.75,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aa97af9ac7b769ee58121caf89c0b7f,2.4,1606.0,2037.0,8.2,1,29,0,0,1,1,0,0,1,1,0,0,1,0,1,0
0ac773048be5d6991c4857f5d7b90bf0,3.25,None,None,None,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ada721cd6da17a2af44b77ce3322ef0,3.0,400.0,425.0,3.5,1,95,0,1,1,0,1,0,0,1,0,1,0,0,0,1
0ae9386e75aa6b8df3644f5ddc836118,3.4,1237.0,7337.0,7.0,1,61,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0aed690ae3e34753ba9d4c55106a1217,3.66666666667,200.0,400.0,1.5,1,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0aefa09fedf49fcf8cb0d4ebdc77153d,3.33333333333,None,None,None,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0af24a2bc5a21406f5ba84c618515f6e,2.0,1200.0,4000.0,7.2,1,3,1,0,0,0,0,0,1,1,1,0,0,0,0,1
0af7e5a39cc2b5fd949452e057e58431,3.25,2400.0,3600.0,11.2,1,137,1,0,0,0,0,0,1,1,1,1,0,0,0,0
0afa5bc2a4a6c69b2c2b0388f2d28bfb,4.0,2100.0,5168.0,6.0,1,149,1,0,0,0,0,0,1,1,1,0,1,0,0,1
0b0271aafaa188a9e270c65ecd34c7b9,3.94117647059,325.0,480.0,4.2,1,122,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0b22110245610daed94744c7df6bea2d,3.5,800.0,5757.0,6.0,1,99,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0b258c38d147abbbf3b7236673ba8215,2.75,None,None,None,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b2d744e6f21b7fa631b58ed0a35caca,4.0,2300.0,6900.0,10.0,1,93,1,0,0,0,0,0,1,1,0,0,0,0,1,1
0b3ce2aa3d6812d9e6c17c460c198537,3.2,1950.0,1650.0,9.0,1,108,0,0,1,1,1,1,0,1,0,0,0,1,0,0
0b52d06b8d183ba94569b3451a972ef9,0.0,None,None,None,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b62894f1452d35c64566b0d5fa4f471,3.33333333333,2800.0,5200.0,4.6,1,156,0,0,1,0,0,0,1,1,1,0,0,0,1,0
0b6699aff6d2421db5df9e6d02fafaa0,0.0,1600.0,None,8.0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
